source,nct_id,brief_title,overall_status,start_date,study_type,conditions
ClinicalTrials.gov API,NCT05859659,"Clinical, patHOlogical and Imaging Project of nEuro-oncology (HOPE)",RECRUITING,2022-01-01,OBSERVATIONAL,Brain (Nervous System) Cancers; Glioma; Brain Tumor
ClinicalTrials.gov API,NCT07524803,Lung Cancer Screening for Early Detection of Suspicious Lung Nodules in Latin America(LUCAS-LATAM),NOT_YET_RECRUITING,2026-05-01,OBSERVATIONAL,Lung Cancer Screening
ClinicalTrials.gov API,NCT06986564,Evaluation of Decision Compatibility Between a Multidisciplinary Cancer Board and ChatGPT-4O,COMPLETED,2024-11-01,OBSERVATIONAL,Cancer; Artificial Intelligence
ClinicalTrials.gov API,NCT05117320,Artificial Intelligence to Improve Physicians' Interpretation of Chest X-Rays in Breathless Patients,UNKNOWN,2021-10-19,INTERVENTIONAL,Dyspnea
ClinicalTrials.gov API,NCT06626178,Development of an Artificial Intelligence Model for the Identification and Prevention of Smoking-related Diseases.,RECRUITING,2024-10-01,INTERVENTIONAL,Lung Cancer Screening Program; Artificial Intelligence (AI)
ClinicalTrials.gov API,NCT05174377,CADx - Radiomics to Distinguish the Origin of Ovarian Tumors,UNKNOWN,2021-04-05,OBSERVATIONAL,Ovarian Cancer
ClinicalTrials.gov API,NCT04996381,Feasibility of AI-based Heart Function Prediction Model Using CXR,COMPLETED,2022-03-01,OBSERVATIONAL,Chest X-ray for Clinical Evaluation
ClinicalTrials.gov API,NCT06629207,Artificial Intelligence in Molecular Imaging: Predicting Parkinson's Risk in REM Sleep Behavior Disorder,RECRUITING,2024-10-07,INTERVENTIONAL,"Parkinson Disease; REM Sleep Behavior Disorder; Dementia, Lewy Body"
ClinicalTrials.gov API,NCT06347991,Alberta Chiropractic SelfBack Study,RECRUITING,2024-05-24,INTERVENTIONAL,Chronic Low-back Pain
ClinicalTrials.gov API,NCT07057830,Generative AI Radiologist's Workstation,NOT_YET_RECRUITING,2025-07-01,OBSERVATIONAL,Study Aims to Develop and Validate a Generative AI-assistant Designed to Optimize Radiologists' Workflows and to Evaluate Its Performance
ClinicalTrials.gov API,NCT06667986,Artificial Intellegence Rivals Digital Bitewing in Detect Secondary Caries,NOT_YET_RECRUITING,2024-11-15,OBSERVATIONAL,"Caries,Dental"
ClinicalTrials.gov API,NCT06857019,"Evaluating the Clinical Effectiveness of ""Endotracheal Tube Position Anomaly Alerting System""",NOT_YET_RECRUITING,2025-02-24,INTERVENTIONAL,"Critical Care Medicine; Mechanical Ventilation; Radiographic Image Interpretation, Computer-Assisted; Alarms"
ClinicalTrials.gov API,NCT04580095,Artificial Intelligence for Improved Echocardiography,COMPLETED,2020-09-29,INTERVENTIONAL,Heart Diseases
ClinicalTrials.gov API,NCT07003516,Validation of Artificial Intelligence-based Digital Anthropometry Applications for Estimating Body Composition.,RECRUITING,2025-01-11,OBSERVATIONAL,Body Composition
ClinicalTrials.gov API,NCT05566158,Development and Validation of a CT-based Diagnostic Models Using Artificial Intelligence for Detection of Small Bowel Obstruction,UNKNOWN,2022-08-09,OBSERVATIONAL,Small Bowel Obstruction
