source,source_file,frame,year,row_index,topic,measure_name,numeric_value
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_0,2018.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_1,33366109.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_2,33601370.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_3,1144136169.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_4,34.05
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_5,34.29
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_6,143458996677.4158
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_7,4269.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_8,4300.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_9,109928103494.3219
